state_abbrev,fips,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
NC,099,34.450439460927917,47.530482641828961,65.17896909398813,54.331890347163409,6.9101926333615609,30.226465918712957,27.379302497883153,46.655824854844717,20.955787567250844,40.089309114153302
NJ,023,29.751206128358895,57.87895304247504,63.887008307760667,60.29025032034761,25.893765160362943,19.168944011272615,22.514827248698531,56.667168249318877,35.557824974679136,51.662541547591296
MA,017,36.166815063625307,73.249320683656478,70.067243437666605,60.129946494501823,18.969537505013594,28.096416460732634,30.521884913190284,63.348147148305884,43.783817365430387,61.115416122670524
IL,001,35.844572308334634,37.492907468294973,67.061223318198429,59.757977141067798,11.006599342414283,30.061145034184012,28.652293721622037,31.581295339491668,14.111126767913991,26.487098794426178
LA,117,44.005031865705845,47.813353882039337,57.320005831389544,52.403457180939675,30.508488837054323,18.282155948017333,24.681635288237253,41.053159495147248,20.842587578622908,37.551347523638938
GA,285,36.189583874037524,49.14095860566448,63.094556243550066,54.007797270955166,13.89521270496502,21.589189886480895,24.840606008485263,41.675107419903696,18.977414424546527,36.695547481039313
TN,125,29.685597147950084,45.194048680015065,61.549681143920964,49.018860040005542,4.0373794387340798,20.405305685936614,19.297037213079047,44.890914042384637,18.30011784511785,39.338212517330156
KY,111,37.967225024986924,61.76967760611808,64.875224527276558,58.214921661632381,29.372660230020358,22.303750465664255,24.066123134673656,51.310271524439543,31.377562467279017,52.857718813954641
WI,135,38.540879007903357,33.051700288184435,71.197451168748017,62.565718860070447,14.595750880563559,28.77397374319564,33.320137688120404,26.516439632461609,12.050417657264026,26.212651802351733
IN,003,30.480316811494319,49.187360108750546,63.208058113574424,54.916154459763732,11.399251395962459,25.379435573324091,19.590585808619799,38.809370766681916,18.39765129023273,36.40830355752118
PA,043,36.468518254605783,53.11254426385436,67.143700233288939,61.827814731267786,30.164304856652592,29.804141361559477,30.619502445357035,48.531402067732479,28.748572927733012,47.976318244241163
NY,017,34.192682449618459,34.848004382532487,62.204249491313185,54.182231178588204,29.239438879323856,19.068813585850695,15.248020034434187,34.856744277049508,14.68334181177851,30.45130111524163
NC,151,30.866982630527239,31.302228401596992,65.742066660714073,55.628910545046367,7.5492773958187156,27.981390869548552,21.902306210696842,31.565294358764152,11.14130245427064,22.666854537070257
TX,257,30.374623743547954,39.541586249298298,61.261993103263933,49.23617311342187,12.686682349167311,22.709797107647827,18.895166938437278,32.716279543602276,15.903979896767186,29.77348410757946
TX,323,34.849860930030417,64.710704624500835,57.369547855210598,39.308707973721503,5.2028167804542917,23.066593670831733,18.030031345270302,64.627105606258141,32.566549326379828,63.829074315514994
AL,077,35.775252014240209,28.3727931668761,64.366016500027328,52.641290134586299,9.0125152525086971,28.383367025442073,22.580141688976301,28.153715570545234,12.703440134907245,23.983301480232338
LA,073,39.194417996470762,37.776037170568209,61.174903519016887,55.332098969176862,30.346293099070749,22.592795663433691,25.352758594424412,40.703345139708787,24.063654136674664,40.058996331137074
NY,101,32.595566936505307,33.259436490455201,64.096121512481659,55.883661894273125,30.283564610866357,20.434456681350927,15.116237151248162,33.889812214328984,14.517427538227141,28.65005782256733
TN,045,36.650149960536709,39.596190476190493,60.12454091028679,51.244493554327804,4.983178111023415,24.347976848197852,25.36121546961326,32.674264667192837,13.172170481452248,26.013875295974742
VA,197,37.084028310232952,38.554216587181578,64.373293009189268,56.574334070024399,29.17128649528906,17.097580551355136,14.295068046993139,26.619870244765551,9.207649660867002,19.214974933647888
WI,061,42.054058216540888,22.077773512476007,72.419347408829182,64.368360844529732,15.19601535508637,32.548829174664114,35.965420345489449,25.761319882950865,11.401440012320963,23.266463884182958
IN,117,37.371294157899236,39.24340090668035,60.283329056539223,50.763638696433162,6.8687366350183909,27.536558036096149,22.192096484475233,28.80152253870498,10.342032332563511,21.573475322897959
KY,183,41.472229390680994,37.725384890798431,61.691464375223774,51.248005728607211,28.435997135696375,21.070046544933763,23.096806301467957,31.666738351254473,12.971283154121865,24.406250896057344
MI,059,35.022386112419809,36.803514503159107,66.604914560597365,53.72868681792076,12.512324095347502,22.136832280298677,25.050441556576683,25.212042909433549,9.546102272315439,20.646410321458337
NV,019,35.727224297348606,19.689455636519504,71.620721327536614,58.42829587900313,17.773479884881507,17.273510501500226,31.662543628681636,30.842811217929079,12.815752250321475,27.372295021737795
KS,169,35.218932218814246,37.842133342280967,62.38338086769788,56.024047914639475,16.527665000167769,24.957084857229134,23.070234540146963,33.299265226330519,15.778796049748895,30.324503690720952
