state_abbrev,fips,age_group,race,registered
FL,131,18-34,Caucasian,6299
MN,047,65+,Caucasian,5337
KY,155,18-34,Caucasian,1896
FL,086,18-34,Other,5091
PA,061,65+,Caucasian,6601
IL,089,18-34,Hispanic,11469
TX,459,18-34,Caucasian,3531
TX,303,18-34,Hispanic,8584
TN,157,35-64,Uncoded,4186
TN,055,35-64,Caucasian,5655
FL,127,18-34,African-American,6196
NY,061,65+,Uncoded,6191
SC,041,35-64,Caucasian,16970
GA,075,65+,Caucasian,1430
TX,139,18-34,Hispanic,3714
FL,035,65+,Caucasian,24506
CA,061,18-34,African-American,101
GA,187,35-64,Caucasian,6638
NC,081,65+,Other,599
MA,023,18-34,Caucasian,55986
FL,109,65+,African-American,1328
NY,051,35-64,Caucasian,13033
PA,015,35-64,Caucasian,12660
PA,017,35-64,Asian,2347
OR,067,65+,Asian,2184
MN,003,18-34,Caucasian,33150
FL,053,18-34,African-American,1036
NC,195,35-64,Caucasian,8774
KY,095,35-64,Caucasian,4769
MO,115,65+,Caucasian,2091
LA,091,65+,Caucasian,820
NJ,039,18-34,Hispanic,10681
IN,165,18-34,Caucasian,1481
OH,159,35-64,Caucasian,15947
CA,059,65+,Hispanic,29741
CA,095,35-64,Caucasian,51755
VA,003,35-64,Caucasian,22603
WI,003,35-64,Caucasian,3292
KS,087,35-64,Caucasian,4507
NC,021,18-34,Hispanic,1038
CO,067,65+,Caucasian,7821
IA,029,35-64,Caucasian,2939
CA,013,65+,African-American,5282
MI,031,65+,Caucasian,5853
MD,035,35-64,Caucasian,12469
NC,047,65+,African-American,2030
IN,167,35-64,Asian,79
OK,013,18-34,Caucasian,2883
IA,047,35-64,Hispanic,303
NY,065,35-64,Asian,221
GA,017,35-64,Caucasian,2027
TN,179,35-64,African-American,322
WI,111,18-34,Caucasian,2907
AR,101,35-64,Caucasian,1484
FL,045,65+,Caucasian,2400
IN,081,18-34,Uncoded,732
TX,249,65+,Hispanic,2696
OK,051,35-64,Hispanic,50
IA,017,18-34,Caucasian,2852
UT,039,65+,Caucasian,2173
AR,021,18-34,Caucasian,999
MD,029,65+,Caucasian,3559
MD,027,35-64,Hispanic,676
WA,035,65+,Hispanic,91
NH,,65+,Caucasian,490
AL,027,35-64,Caucasian,2924
MO,167,18-34,Caucasian,3317
VA,153,18-34,Asian,2146
SC,001,35-64,Caucasian,3943
OK,075,35-64,Caucasian,1254
NC,023,18-34,African-American,420
MN,003,35-64,Hispanic,235
TX,015,65+,Uncoded,71
NC,089,35-64,African-American,696
VA,127,35-64,African-American,384
NE,055,18-34,Asian,291
TX,331,18-34,Uncoded,137
KY,003,65+,Caucasian,2772
LA,045,65+,Uncoded,1
OK,071,65+,Native American,48
SC,083,35-64,Hispanic,1683
TN,045,35-64,African-American,648
IA,021,35-64,Caucasian,2792
GA,107,65+,African-American,628
OR,039,65+,Uncoded,1212
ID,085,35-64,Caucasian,1834
CA,079,35-64,Uncoded,2652
TX,249,18-34,Caucasian,783
CT,011,35-64,Asian,571
PA,131,18-34,Caucasian,2297
LA,127,35-64,Caucasian,1961
TX,347,18-34,African-American,669
IL,,18-34,Caucasian,556
AZ,019,18-34,African-American,525
GA,161,65+,Caucasian,1337
UT,001,65+,Caucasian,503
MI,065,18-34,Hispanic,790
MO,520,35-64,Asian,251
TN,187,18-34,Uncoded,944
MN,169,18-34,Caucasian,4035
FL,125,65+,Caucasian,1233
GA,179,18-34,Hispanic,526
TN,141,18-34,Uncoded,228
PA,089,18-34,Hispanic,1390
NJ,035,65+,Hispanic,940
NY,087,65+,African-American,1775
TX,407,18-34,Uncoded,123
TX,321,18-34,Hispanic,894
AL,115,35-64,Hispanic,148
VA,019,18-34,Hispanic,26
MS,023,18-34,Caucasian,525
TX,299,65+,Uncoded,92
TX,165,18-34,Caucasian,1030
FL,111,35-64,Asian,1113
NE,045,35-64,Caucasian,1604
TX,483,18-34,Caucasian,300
MI,093,35-64,African-American,23
IA,,35-64,Caucasian,1285
PA,079,65+,Hispanic,409
OH,143,35-64,Uncoded,456
SC,049,65+,African-American,1071
GA,297,18-34,Native American,57
PA,017,18-34,Hispanic,606
AK,090,65+,Uncoded,214
NC,127,18-34,Hispanic,387
SC,031,65+,Native American,18
VA,540,65+,Uncoded,83
CO,031,18-34,Asian,712
TX,043,35-64,Hispanic,564
GA,105,65+,African-American,642
MS,065,18-34,Caucasian,172
GA,133,18-34,Caucasian,905
VA,595,65+,Caucasian,344
NE,165,18-34,Caucasian,109
IN,157,18-34,Asian,324
IA,179,18-34,Caucasian,2901
UT,049,18-34,Native American,37
GA,233,18-34,Other,82
AK,110,35-64,Uncoded,374
TX,245,65+,Hispanic,865
OK,133,18-34,Caucasian,1254
MO,025,35-64,Caucasian,2094
AZ,019,18-34,Asian,376
CA,025,18-34,Uncoded,268
KS,199,65+,Caucasian,285
WV,017,35-64,Caucasian,1356
WI,025,35-64,Hispanic,724
KS,083,35-64,Caucasian,407
WV,095,65+,Caucasian,1285
PA,043,35-64,Asian,527
NY,079,18-34,Uncoded,670
SD,083,18-34,Uncoded,114
VI,,18-34,Uncoded,2
WA,037,35-64,Uncoded,341
WY,011,18-34,Caucasian,179
TX,277,35-64,Uncoded,240
OR,017,18-34,Hispanic,576
KS,181,18-34,Caucasian,429
WY,023,65+,Uncoded,21
PA,003,18-34,Native American,16
MD,003,35-64,Asian,1111
KS,103,65+,Uncoded,146
TN,131,18-34,Caucasian,2297
IN,095,18-34,African-American,523
KS,093,35-64,Caucasian,513
CA,073,18-34,Other,53
FL,,18-34,Caucasian,791
WV,003,35-64,Uncoded,769
MS,099,18-34,African-American,301
WA,011,65+,Asian,571
AR,095,35-64,Caucasian,684
IN,091,65+,African-American,454
NC,041,18-34,Caucasian,791
TX,305,35-64,Uncoded,74
TN,149,18-34,Asian,121
MI,027,18-34,Uncoded,162
NC,051,18-34,Caucasian,13929
CA,013,35-64,Asian,29462
MS,045,35-64,Caucasian,8696
IL,043,35-64,Caucasian,176669
MI,127,65+,Caucasian,4819
CA,013,65+,Caucasian,104856
LA,055,65+,Caucasian,21916
CA,037,65+,Uncoded,35746
FL,115,35-64,Caucasian,75919
DE,001,18-34,Caucasian,16073
OR,067,35-64,Caucasian,112618
GA,105,65+,Asian,5
VA,153,65+,Hispanic,1730
MO,097,18-34,Hispanic,286
WA,053,65+,Caucasian,93345
MI,137,18-34,Caucasian,2994
NJ,027,35-64,Caucasian,104947
MA,027,18-34,Caucasian,79647
VA,069,65+,Caucasian,12571
PA,017,65+,Caucasian,92602
TX,113,18-34,Hispanic,75990
SC,045,18-34,Caucasian,43906
FL,081,65+,Caucasian,69355
NY,081,65+,Hispanic,25006
CA,019,65+,African-American,1134
IL,101,35-64,Caucasian,2971
OK,097,65+,Caucasian,4750
NC,107,35-64,Other,70
NC,071,35-64,Caucasian,37764
NY,027,35-64,Caucasian,56691
NY,059,18-34,Hispanic,10730
CA,075,18-34,Caucasian,48410
FL,107,65+,Caucasian,10757
FL,053,18-34,Caucasian,13873
AR,119,35-64,Caucasian,52205
OH,025,35-64,Caucasian,50664
IN,005,65+,Caucasian,10720
NJ,023,35-64,Caucasian,100879
OH,085,35-64,Caucasian,53485
MO,031,18-34,Caucasian,8796
IL,115,35-64,Caucasian,20665
GA,135,18-34,Caucasian,40772
TN,119,65+,Caucasian,12114
IA,023,35-64,Caucasian,3547
OR,067,18-34,Hispanic,6896
NJ,007,35-64,Hispanic,7561
NV,003,35-64,African-American,17708
TX,309,35-64,Hispanic,5158
FL,101,35-64,Caucasian,99036
NY,023,35-64,Caucasian,9401
GA,045,65+,Caucasian,11141
FL,099,18-34,African-American,24079
OH,115,35-64,Caucasian,3037
VA,033,35-64,African-American,1498
OH,065,18-34,Caucasian,2741
OH,153,35-64,Caucasian,109549
IN,163,35-64,Caucasian,36320
PA,043,18-34,Uncoded,1781
AZ,013,65+,Uncoded,14832
MI,077,35-64,Caucasian,55924
AL,121,35-64,African-American,6150
OK,035,35-64,Caucasian,2197
NY,019,35-64,Caucasian,16866
PA,115,65+,Caucasian,6653
ID,027,18-34,Caucasian,13186
KS,111,65+,Caucasian,4052
LA,051,18-34,Caucasian,20635
GA,135,35-64,Hispanic,14160
FL,109,65+,Caucasian,43418
MD,031,35-64,Hispanic,14642
NY,053,35-64,Caucasian,14700
TX,039,65+,Caucasian,26992
NY,055,35-64,African-American,12450
NC,179,35-64,African-American,6356
MI,081,35-64,Hispanic,3159
IN,063,18-34,Caucasian,19864
NC,125,65+,African-American,1385
FL,007,35-64,Asian,30
TX,273,35-64,Hispanic,3507
GA,089,18-34,Other,3156
UT,013,35-64,Caucasian,1867
IN,019,65+,Caucasian,15749
OH,149,18-34,Caucasian,5340
WA,011,35-64,Asian,1490
MO,213,18-34,Uncoded,172
TX,005,35-64,Caucasian,13261
FL,095,65+,Native American,385
KS,139,65+,Caucasian,2657
MN,171,35-64,Caucasian,37084
GA,315,35-64,Caucasian,1021
LA,051,65+,Hispanic,1978
MI,065,18-34,Uncoded,1837
WA,035,65+,Uncoded,1281
LA,099,65+,Caucasian,5059
GA,119,65+,Caucasian,2871
SC,011,65+,Caucasian,1856
MS,129,65+,Caucasian,1982
WI,059,35-64,Caucasian,35135
IL,167,18-34,Caucasian,18275
OR,033,18-34,Uncoded,478
TN,179,65+,Caucasian,17664
IN,133,65+,Caucasian,4897
MD,013,65+,Caucasian,23390
TX,303,35-64,Caucasian,39284
KS,207,35-64,Caucasian,711
TX,157,18-34,African-American,11937
KY,009,18-34,Caucasian,4095
TX,041,35-64,Caucasian,26148
VT,023,18-34,Caucasian,5093
LA,005,18-34,Caucasian,9754
TX,347,35-64,Hispanic,521
CO,039,35-64,Uncoded,299
NC,057,35-64,Caucasian,32528
VA,107,18-34,Caucasian,35005
FL,031,65+,Hispanic,3351
NV,007,35-64,Caucasian,8040
MS,109,65+,Caucasian,7813
GA,073,35-64,Caucasian,27164
NH,013,35-64,Caucasian,32742
TX,481,65+,Hispanic,735
SC,059,35-64,Caucasian,10398
PA,021,18-34,Caucasian,11206
IL,161,65+,Caucasian,20626
PA,073,35-64,Caucasian,18623
CO,077,65+,Uncoded,526
CO,031,65+,Hispanic,6683
IL,157,65+,Caucasian,4834
ID,001,35-64,Hispanic,980
NY,081,18-34,Caucasian,53331
NC,099,65+,Caucasian,4929
IL,031,35-64,Caucasian,559251
MN,037,65+,Caucasian,53239
CA,073,35-64,Caucasian,418601
FL,099,35-64,Asian,7352
CO,005,18-34,Caucasian,57071
VA,810,35-64,Caucasian,80236
AL,101,18-34,African-American,17297
MS,121,65+,Caucasian,18824
MN,145,18-34,Caucasian,13734
NC,049,65+,African-American,2608
KS,091,35-64,Caucasian,142700
NE,111,65+,Caucasian,5320
KY,073,35-64,Caucasian,11183
OH,151,35-64,African-American,2775
MO,099,65+,Caucasian,29689
FL,011,35-64,Caucasian,163818
WY,005,35-64,Hispanic,29
NC,021,35-64,Caucasian,54538
IN,119,65+,Caucasian,3303
MN,099,65+,Caucasian,5407
MS,049,65+,Caucasian,12114
MI,163,35-64,Caucasian,238859
MD,510,35-64,Caucasian,40997
MD,033,35-64,Caucasian,34378
RI,009,18-34,Caucasian,14861
MO,189,65+,Caucasian,127200
TX,201,18-34,Caucasian,206213
KY,227,65+,Caucasian,13632
GA,137,18-34,Caucasian,3796
TX,451,35-64,Caucasian,14676
OR,057,65+,Caucasian,5392
TX,041,35-64,African-American,1703
AR,063,65+,Caucasian,4504
PA,045,18-34,Caucasian,49681
AR,055,65+,Caucasian,4797
IL,031,18-34,Hispanic,85981
WA,033,18-34,Asian,26223
CO,041,18-34,Caucasian,71812
KS,121,65+,Caucasian,4861
TX,453,18-34,Caucasian,113542
AZ,027,35-64,Caucasian,11439
PA,077,18-34,Hispanic,4911
TN,157,65+,African-American,39142
MI,135,65+,Caucasian,2015
NE,025,35-64,Caucasian,7162
AR,049,65+,Caucasian,1849
IL,043,35-64,Asian,11941
MO,187,65+,Caucasian,8136
TX,135,35-64,Hispanic,12193
MI,093,18-34,Caucasian,25072
AZ,019,35-64,Caucasian,126422
FL,071,35-64,African-American,9310
FL,115,35-64,African-American,3246
NC,001,35-64,Caucasian,24823
IA,149,65+,Caucasian,4156
CA,067,18-34,Hispanic,25589
TN,019,35-64,Caucasian,10890
NE,067,35-64,Caucasian,4895
NE,101,35-64,Caucasian,1740
IL,177,18-34,Caucasian,3439
FL,117,18-34,Caucasian,33689
MS,015,35-64,Caucasian,1436
GA,121,35-64,Asian,10543
OH,095,65+,African-American,5075
GA,121,65+,Caucasian,49188
CA,029,65+,Uncoded,2321
WI,073,18-34,Caucasian,6611
SC,021,65+,Caucasian,6238
TN,053,35-64,Caucasian,8914
AZ,027,18-34,Hispanic,8554
WV,055,35-64,Caucasian,9646
NC,119,18-34,Caucasian,74590
NC,031,65+,Caucasian,13199
IL,011,35-64,Caucasian,7203
NM,045,35-64,Caucasian,12089
LA,005,18-34,African-American,3418
IA,163,65+,Caucasian,23382
TX,007,35-64,Caucasian,3862
NJ,001,65+,Caucasian,31105
CT,009,35-64,Hispanic,12928
VA,650,35-64,Caucasian,13969
WA,011,18-34,Caucasian,49494
GA,211,18-34,Caucasian,1776
LA,031,65+,Caucasian,2499
IA,049,18-34,Caucasian,12863
GA,121,65+,African-American,36027
OH,055,65+,Caucasian,15774
CT,013,35-64,Caucasian,32571
GA,233,35-64,Caucasian,6821
OR,033,65+,Caucasian,17527
UT,045,35-64,Caucasian,9730
GA,067,18-34,Native American,600
TX,485,35-64,Caucasian,19190
TX,027,18-34,Caucasian,22078
AL,,35-64,African-American,1687
MS,071,65+,Caucasian,5331
OH,043,35-64,African-American,684
IN,077,18-34,Caucasian,3039
ND,053,18-34,Caucasian,554
CA,055,35-64,Caucasian,19055
IA,105,35-64,Caucasian,4883
SC,083,18-34,African-American,7566
VA,169,65+,Caucasian,3854
OH,105,18-34,Caucasian,1910
LA,033,65+,African-American,16232
VA,087,18-34,Caucasian,25732
CA,045,65+,Caucasian,11507
TX,325,35-64,Hispanic,4146
TN,009,65+,Caucasian,20430
ME,009,35-64,Caucasian,11970
MN,057,65+,Caucasian,4373
SC,045,18-34,African-American,10751
MO,183,18-34,Asian,167
TX,015,18-34,Caucasian,2140
NC,063,35-64,Uncoded,448
TX,035,35-64,Caucasian,3373
IL,107,18-34,Caucasian,2397
TX,183,35-64,Uncoded,895
LA,055,65+,African-American,4290
NJ,041,35-64,Caucasian,24371
GA,311,18-34,Caucasian,2757
LA,115,18-34,Caucasian,2747
VA,550,35-64,Caucasian,42503
OH,069,65+,Caucasian,4392
SC,073,65+,Hispanic,85
GA,219,18-34,Caucasian,4226
NE,109,35-64,African-American,202
KY,113,18-34,Caucasian,5525
VA,685,35-64,Caucasian,1651
IL,069,35-64,Caucasian,771
NY,,35-64,Caucasian,3960
VA,031,35-64,African-American,828
MI,,35-64,Caucasian,2054
CO,083,65+,Caucasian,4171
MI,019,65+,Caucasian,4183
VA,175,35-64,Caucasian,2971
AK,020,35-64,African-American,618
WA,009,65+,Uncoded,348
MI,021,18-34,Hispanic,184
NC,123,65+,African-American,490
OH,041,18-34,Asian,469
KY,103,35-64,Hispanic,5
TN,127,65+,Caucasian,1088
OK,151,65+,Caucasian,1167
TX,027,65+,Uncoded,977
TX,231,65+,African-American,334
GA,029,18-34,African-American,708
FL,115,65+,Asian,727
KY,223,65+,Caucasian,1296
ID,005,65+,Hispanic,71
LA,009,65+,Caucasian,3648
WI,025,18-34,Asian,444
SC,055,65+,Uncoded,0
LA,127,35-64,African-American,653
GA,109,18-34,Caucasian,552
GA,011,35-64,Caucasian,4107
NY,011,35-64,Uncoded,210
WA,027,35-64,Uncoded,482
TN,119,35-64,Uncoded,539
PA,041,18-34,African-American,159
GA,225,65+,Caucasian,2231
IN,127,65+,Hispanic,458
WV,015,35-64,Caucasian,1389
ID,047,35-64,Caucasian,1775
WI,139,18-34,Uncoded,371
TX,103,35-64,Hispanic,410
TX,057,18-34,Uncoded,53
GA,107,18-34,Caucasian,1352
TX,367,18-34,Uncoded,1030
SC,087,18-34,Caucasian,1519
CT,001,35-64,Asian,1772
KS,197,18-34,Caucasian,722
MS,029,18-34,Caucasian,600
ID,081,35-64,Uncoded,42
NC,065,35-64,Caucasian,3737
LA,073,35-64,Uncoded,8
KY,211,35-64,African-American,147
TX,197,65+,Caucasian,501
TX,291,18-34,Hispanic,1452
GA,235,35-64,Caucasian,1297
NC,049,35-64,Other,321
OK,091,35-64,Caucasian,2639
GA,057,35-64,Asian,1060
NM,059,18-34,Caucasian,173
TX,265,18-34,Hispanic,763
GA,081,65+,Other,18
AZ,007,35-64,Hispanic,702
PA,107,65+,Uncoded,225
TX,053,35-64,Hispanic,752
WV,101,65+,Caucasian,1115
OK,063,65+,Caucasian,1457
MS,131,18-34,Caucasian,682
KY,209,18-34,Uncoded,167
GA,117,65+,Hispanic,389
CA,087,18-34,Uncoded,1269
GA,207,65+,African-American,725
IN,039,35-64,Hispanic,1416
TX,309,18-34,African-American,1719
NY,091,35-64,Hispanic,60
MI,113,65+,Caucasian,2688
AL,099,18-34,Caucasian,1300
NC,187,35-64,African-American,1051
ID,037,35-64,Caucasian,701
FL,051,65+,Hispanic,579
VA,131,35-64,Caucasian,1246
GA,209,65+,Caucasian,763
WA,033,65+,Hispanic,1820
FL,109,35-64,Uncoded,235
AL,083,18-34,Asian,112
MS,123,65+,Caucasian,2196
NC,063,65+,Asian,637
KS,017,65+,Caucasian,477
CO,001,18-34,Asian,644
IN,005,35-64,Uncoded,393
NC,097,35-64,Hispanic,1073
DE,005,18-34,Asian,37
MA,009,18-34,African-American,679
NC,001,35-64,Native American,90
GA,061,35-64,African-American,274
NC,181,18-34,Hispanic,168
TN,153,18-34,Caucasian,1363
MS,153,35-64,African-American,1613
NY,109,18-34,Uncoded,400
FL,083,35-64,Asian,1024
OK,109,65+,Uncoded,1843
MI,053,65+,Caucasian,3070
AK,122,65+,Asian,7
CT,011,65+,African-American,260
WY,035,65+,Caucasian,773
AL,079,35-64,African-American,939
KS,033,65+,Caucasian,317
LA,075,65+,African-American,343
ID,011,18-34,Uncoded,144
LA,071,65+,Other,1081
TX,353,18-34,Caucasian,740
MS,037,35-64,Caucasian,1241
UT,035,35-64,Native American,124
CT,013,18-34,Uncoded,804
TX,281,18-34,Uncoded,114
VA,678,35-64,Caucasian,830
NV,033,35-64,Caucasian,1204
AR,001,18-34,African-American,184
TX,153,65+,Caucasian,447
VA,009,65+,African-American,597
MO,069,18-34,Uncoded,96
VA,015,35-64,Uncoded,273
CO,125,65+,Caucasian,1388
MO,077,18-34,Uncoded,1095
NM,027,65+,Hispanic,339
NC,019,18-34,Hispanic,326
GA,197,18-34,Caucasian,427
TX,219,35-64,African-American,49
GA,223,35-64,Asian,354
TN,071,35-64,African-American,106
LA,067,18-34,Caucasian,975
AR,035,35-64,African-American,3351
WA,043,18-34,Caucasian,852
TN,051,18-34,African-American,109
IN,053,65+,Caucasian,9331
TX,453,35-64,Caucasian,199466
MA,005,35-64,Caucasian,120634
WA,033,65+,Caucasian,192126
VA,041,18-34,Caucasian,33288
WA,033,35-64,Asian,46132
WI,071,65+,Caucasian,14581
OK,115,18-34,Uncoded,70
TX,167,35-64,Caucasian,57678
CA,001,65+,Caucasian,94166
AL,101,35-64,African-American,28393
PA,045,35-64,Caucasian,105445
NY,015,35-64,Caucasian,17357
WV,011,18-34,Caucasian,7803
FL,099,65+,Hispanic,15453
SC,083,35-64,African-American,15014
TX,201,65+,Caucasian,232610
NC,119,35-64,Caucasian,133029
CO,005,35-64,Caucasian,112297
TX,453,18-34,Hispanic,33699
GA,297,65+,Caucasian,10332
ID,005,65+,Caucasian,8760
TX,039,35-64,Caucasian,53829
KY,017,18-34,Caucasian,1759
TX,113,35-64,Caucasian,227655
VA,165,35-64,Caucasian,17607
NY,061,65+,Caucasian,89179
CO,123,18-34,Caucasian,28896
CA,071,65+,Hispanic,42453
CA,079,65+,Caucasian,43802
LA,019,18-34,Caucasian,13038
OH,139,35-64,Caucasian,25378
MA,013,65+,Caucasian,53942
AL,117,18-34,Caucasian,21983
CA,059,65+,Asian,44915
WA,053,18-34,Uncoded,7815
UT,035,65+,Hispanic,2294
WI,121,65+,Caucasian,4448
NY,017,65+,Caucasian,6955
AL,113,18-34,African-American,2964
FL,069,18-34,Caucasian,22800
SC,063,65+,Caucasian,37278
VA,087,65+,Caucasian,31628
CA,075,35-64,Uncoded,10232
NY,089,65+,Caucasian,14258
OR,005,65+,Caucasian,63000
CA,071,18-34,Caucasian,75513
ME,011,18-34,Caucasian,10513
MI,025,65+,Caucasian,18592
MI,093,35-64,Caucasian,54180
CO,059,35-64,Uncoded,6269
NC,019,18-34,Caucasian,9463
CA,097,18-34,Caucasian,29543
NJ,031,18-34,Uncoded,3196
NM,027,65+,Caucasian,2825
MI,075,35-64,Caucasian,36268
TX,423,65+,Hispanic,491
NJ,015,35-64,Caucasian,68723
SC,009,35-64,Caucasian,1031
OH,103,35-64,Uncoded,791
ME,003,65+,Caucasian,11608
MI,115,65+,Caucasian,23854
IN,181,65+,Caucasian,4036
TX,027,35-64,Caucasian,47005
CA,019,65+,Caucasian,55739
MN,055,18-34,Caucasian,1680
MN,123,18-34,Asian,3953
IA,127,35-64,Caucasian,6664
SC,057,65+,Caucasian,15006
NY,093,65+,Caucasian,20300
CA,073,65+,Uncoded,14162
PA,125,35-64,Caucasian,48324
LA,105,65+,African-American,2375
SC,055,35-64,Caucasian,11396
GA,117,65+,Caucasian,22217
WI,055,35-64,Caucasian,20607
NY,061,35-64,Asian,15437
NC,049,18-34,African-American,1958
NY,091,35-64,Caucasian,59277
VA,153,35-64,African-American,13314
TX,215,65+,Hispanic,33875
TX,059,35-64,Caucasian,2986
IN,039,35-64,Caucasian,33474
PA,091,18-34,Asian,2618
AL,049,65+,Caucasian,8785
NY,081,35-64,Uncoded,19120
OH,091,18-34,Caucasian,4488
VA,590,35-64,Caucasian,4180
FL,033,18-34,Caucasian,23490
MT,029,35-64,Caucasian,22603
IL,093,18-34,Uncoded,1019
SC,085,65+,Caucasian,7829
CA,017,18-34,Caucasian,14389
VA,630,18-34,Uncoded,182
AR,007,35-64,Caucasian,50867
WA,015,35-64,Caucasian,22268
TX,491,18-34,Hispanic,10188
CA,081,18-34,Asian,14095
NC,085,35-64,Caucasian,18208
NJ,013,18-34,Caucasian,34692
RI,007,35-64,Hispanic,13381
IN,035,65+,Uncoded,101
KY,205,35-64,Caucasian,4753
VA,510,35-64,African-American,4341
CT,009,18-34,Uncoded,5611
VA,083,65+,African-American,1853
NY,029,18-34,Asian,616
TX,245,65+,African-American,7653
LA,067,65+,Caucasian,2322
NC,067,65+,Caucasian,38894
GA,211,35-64,Caucasian,4052
WV,003,65+,Caucasian,12842
AL,115,35-64,African-American,2384
NC,045,35-64,Caucasian,15523
AL,003,18-34,Caucasian,20272
FL,005,35-64,African-American,3271
VA,075,65+,Caucasian,4605
IN,127,65+,Caucasian,23274
TN,081,35-64,Caucasian,4935
NC,181,18-34,Caucasian,1480
NC,121,35-64,Caucasian,3247
FL,103,35-64,Uncoded,645
CA,077,35-64,African-American,4188
AZ,015,18-34,Caucasian,9756
PA,041,65+,Asian,203
TX,025,35-64,Hispanic,2557
IL,077,18-34,Caucasian,4360
IA,061,65+,Caucasian,15142
WI,127,35-64,Caucasian,21968
WV,081,35-64,Caucasian,11516
GA,069,35-64,Caucasian,5535
GA,179,35-64,African-American,5286
MO,051,18-34,Caucasian,8506
GA,295,35-64,Caucasian,13470
MN,049,65+,Caucasian,8026
IN,177,65+,Caucasian,8957
IN,143,35-64,Caucasian,5428
IL,063,35-64,Caucasian,12274
NC,039,18-34,Uncoded,9
CA,021,18-34,Caucasian,1304
KY,199,35-64,Caucasian,15164
NJ,027,65+,Asian,2651
VA,023,65+,Caucasian,6176
OH,063,35-64,Caucasian,16880
GA,205,18-34,Caucasian,1017
TX,217,18-34,Caucasian,2389
NJ,003,18-34,Uncoded,7041
TX,039,35-64,Uncoded,4669
VA,089,18-34,Caucasian,3863
OH,123,65+,Caucasian,8266
AL,133,65+,Caucasian,3558
WI,,65+,Caucasian,1393
ID,017,35-64,Caucasian,8788
CA,095,18-34,Hispanic,9026
LA,033,35-64,Other,2558
WA,065,65+,Caucasian,8394
AL,051,65+,Caucasian,9954
OK,111,65+,African-American,316
MS,105,65+,African-American,1586
NC,011,35-64,Caucasian,2938
FL,005,18-34,Caucasian,14038
TN,045,65+,African-American,384
FL,087,65+,Caucasian,10659
MS,151,18-34,Uncoded,17
LA,117,18-34,Caucasian,2506
OK,033,35-64,Caucasian,980
MN,139,35-64,Uncoded,1388
GA,045,65+,African-American,1481
GA,185,18-34,Caucasian,6975
UT,041,65+,Caucasian,2268
TN,069,35-64,Caucasian,2832
PA,069,35-64,Caucasian,44381
CA,089,18-34,Uncoded,1100
VA,670,18-34,African-American,904
IL,127,35-64,Caucasian,3267
NC,057,35-64,African-American,3336
IN,127,35-64,Hispanic,1288
AR,051,18-34,Caucasian,6836
TX,113,35-64,Uncoded,20554
NM,011,65+,Hispanic,45
IN,167,65+,African-American,162
MI,165,65+,African-American,7
NC,007,18-34,Caucasian,1049
OH,113,18-34,African-American,9090
CA,079,65+,Uncoded,1514
PA,129,65+,Uncoded,465
CA,061,18-34,Uncoded,2595
SD,129,65+,Caucasian,896
TN,125,35-64,Uncoded,1529
MS,017,35-64,Caucasian,2101
AR,133,18-34,Caucasian,812
OH,127,35-64,Caucasian,7788
KY,119,65+,Caucasian,1714
CO,007,65+,Caucasian,2502
ME,013,18-34,Caucasian,2876
AL,001,35-64,Caucasian,11130
GA,067,35-64,African-American,47255
IA,177,35-64,Caucasian,1639
MS,075,35-64,Caucasian,8924
CO,041,35-64,Uncoded,6800
NH,005,65+,Caucasian,11834
TX,009,18-34,Caucasian,563
LA,051,18-34,African-American,11384
GA,245,65+,Caucasian,10051
TX,121,18-34,Asian,3463
IL,165,35-64,Caucasian,5164
MO,057,65+,Caucasian,1394
FL,035,35-64,African-American,2138
KS,055,35-64,Caucasian,3655
TX,439,65+,Uncoded,6347
MT,045,35-64,Caucasian,143
KY,045,65+,Caucasian,2394
OK,073,65+,Caucasian,1554
OK,083,65+,Caucasian,5691
SC,001,65+,Caucasian,3066
NC,071,35-64,African-American,8728
NC,133,18-34,African-American,2698
IL,159,35-64,Caucasian,3709
MA,017,18-34,Hispanic,4971
NC,081,35-64,Hispanic,2527
CO,051,18-34,Caucasian,1480
WV,073,35-64,Caucasian,1387
PA,045,35-64,Uncoded,5308
LA,127,65+,Caucasian,1466
MN,025,65+,Caucasian,7497
GA,189,35-64,Caucasian,2947
WI,075,18-34,Caucasian,1551
FL,079,18-34,Caucasian,879
KS,173,18-34,African-American,2101
SC,059,35-64,African-American,3567
CA,019,65+,Uncoded,3193
VA,790,35-64,Caucasian,4960
TX,239,18-34,Caucasian,884
OK,041,18-34,Caucasian,1952
NJ,001,35-64,Asian,2382
KS,123,35-64,Caucasian,1298
FL,041,18-34,Caucasian,1675
VA,109,18-34,African-American,443
WA,067,18-34,Asian,678
GA,095,35-64,African-American,11735
AL,069,65+,African-American,2481
WA,043,65+,Uncoded,23
MO,089,65+,Caucasian,1567
GA,069,18-34,Hispanic,306
AL,099,65+,African-American,905
VT,007,35-64,Uncoded,928
WI,021,65+,Caucasian,9764
VA,047,18-34,Caucasian,4873
NV,019,18-34,Caucasian,4378
VA,179,65+,Uncoded,525
TX,165,35-64,Hispanic,620
AL,065,65+,Caucasian,1104
IL,111,35-64,Hispanic,2580
GA,013,18-34,Caucasian,7412
MN,037,35-64,Asian,1132
MO,003,18-34,Caucasian,1970
TN,119,65+,African-American,968
PA,069,18-34,Hispanic,365
AR,089,35-64,Caucasian,2614
