state_abbrev,fips,age_group,race,registered
AL,133,18-34,Caucasian,2317
MI,125,35-64,Caucasian,269661
MN,005,35-64,Caucasian,7154
KY,037,65+,Caucasian,12382
NC,051,35-64,African-American,25256
AK,090,35-64,Caucasian,15780
NE,151,65+,Caucasian,1853
GA,135,35-64,Asian,18333
ND,015,65+,Caucasian,15105
AR,093,18-34,Caucasian,1715
NY,081,65+,Asian,31505
VA,085,35-64,Caucasian,28882
PA,131,65+,Caucasian,4165
TX,029,18-34,Asian,811
OH,117,35-64,Caucasian,8580
TX,249,65+,Caucasian,1347
IN,057,65+,Caucasian,38455
IN,069,65+,Caucasian,5608
VA,067,65+,Caucasian,9946
VA,171,65+,Caucasian,7130
TN,093,18-34,Caucasian,47591
TX,217,35-64,Caucasian,6191
AR,131,35-64,Caucasian,18301
AL,071,35-64,Caucasian,11689
OR,047,18-34,Caucasian,27152
MT,067,18-34,Caucasian,1494
SC,025,65+,Caucasian,4299
OR,047,65+,Hispanic,1143
TX,395,65+,Caucasian,1917
AR,021,65+,Caucasian,1875
OH,021,65+,Caucasian,5504
VA,510,35-64,Caucasian,25793
FL,005,35-64,Caucasian,34078
NC,041,65+,Caucasian,1990
TX,157,35-64,Uncoded,14753
MN,019,65+,Caucasian,11951
FL,086,35-64,Other,7180
IL,097,18-34,African-American,2097
TX,187,35-64,Caucasian,22877
TX,245,35-64,African-American,13200
MO,187,18-34,Caucasian,6363
NJ,013,35-64,Uncoded,9397
NY,073,35-64,Caucasian,8274
LA,007,65+,Caucasian,2087
AL,115,35-64,Caucasian,20860
FL,133,35-64,Caucasian,4592
AR,051,35-64,Caucasian,16218
GA,121,18-34,Caucasian,63775
MO,099,18-34,Caucasian,25897
WA,005,18-34,Caucasian,18183
NY,045,65+,Caucasian,11973
VA,117,35-64,African-American,1873
VA,109,35-64,African-American,969
VA,023,18-34,Caucasian,3784
NC,141,18-34,Caucasian,4967
LA,111,35-64,Caucasian,3765
OH,039,65+,Caucasian,5549
MO,101,18-34,Caucasian,5611
IN,011,35-64,Caucasian,18557
MI,099,18-34,Uncoded,4148
AR,027,35-64,African-American,1106
KY,151,65+,Caucasian,10860
PA,089,18-34,Caucasian,12009
LA,099,18-34,African-American,1806
WA,035,35-64,Asian,716
KS,149,35-64,Caucasian,6034
CA,081,35-64,Hispanic,17951
MO,219,35-64,Caucasian,8745
IA,073,35-64,Caucasian,1992
IL,041,35-64,Caucasian,3845
OH,113,35-64,African-American,17770
KY,059,35-64,Caucasian,21778
LA,055,35-64,Caucasian,38334
IA,011,65+,Caucasian,4058
KY,111,35-64,Caucasian,141560
AL,089,35-64,African-American,21659
AZ,025,65+,Caucasian,53456
MI,099,65+,Caucasian,118420
TX,167,65+,Caucasian,31278
TX,201,35-64,African-American,107991
FL,095,35-64,Caucasian,138312
NJ,037,65+,Caucasian,19784
CA,037,18-34,Caucasian,365682
HI,003,65+,Uncoded,9266
WI,127,65+,Caucasian,15967
TX,121,18-34,Caucasian,80017
IN,049,18-34,Caucasian,1783
IL,119,65+,Caucasian,38798
VA,153,35-64,Hispanic,9219
FL,109,35-64,Caucasian,65149
OK,039,35-64,Hispanic,187
CA,031,35-64,Uncoded,660
NC,087,35-64,Caucasian,12945
MI,145,65+,Hispanic,556
OH,045,65+,Caucasian,20400
CA,111,18-34,Hispanic,30909
NC,151,35-64,Caucasian,26932
MN,047,35-64,Caucasian,5837
WI,101,35-64,Uncoded,1903
AR,139,65+,Caucasian,4010
IA,155,35-64,Caucasian,19710
TX,381,65+,Caucasian,17044
VA,069,35-64,Caucasian,20427
TX,439,65+,African-American,13362
KY,037,18-34,Caucasian,11010
LA,095,35-64,African-American,4969
KY,211,35-64,Caucasian,10604
GA,121,35-64,Caucasian,110168
MI,091,65+,Caucasian,16066
IL,143,35-64,African-American,4018
NY,037,65+,Caucasian,8741
OH,155,18-34,Caucasian,17774
TX,479,35-64,Hispanic,34155
CA,001,65+,Asian,31392
TX,339,35-64,Uncoded,7541
MS,059,18-34,Caucasian,5360
CA,111,35-64,Caucasian,109573
OH,083,35-64,Caucasian,13059
FL,069,65+,Hispanic,3483
IA,137,18-34,Caucasian,1038
OK,135,35-64,Uncoded,202
WA,015,65+,Caucasian,16168
NY,085,35-64,Uncoded,6178
WI,009,35-64,Caucasian,60934
NM,001,65+,Caucasian,59697
IN,003,35-64,Caucasian,75071
MD,019,65+,African-American,867
VA,059,35-64,Caucasian,177635
MD,005,65+,Caucasian,86942
NY,071,35-64,African-American,3252
TX,071,18-34,Caucasian,4000
CA,041,65+,Caucasian,40612
IN,089,18-34,Caucasian,34531
SC,073,65+,African-American,717
AL,077,65+,Caucasian,13666
TX,439,35-64,Uncoded,23649
NY,047,65+,African-American,56040
VA,680,65+,Caucasian,7440
IL,197,65+,African-American,3126
MI,037,65+,Caucasian,12183
SC,087,65+,African-American,1151
MI,049,65+,Caucasian,52852
NY,029,18-34,African-American,8863
KS,177,65+,Caucasian,24902
AL,081,18-34,Caucasian,15309
MN,087,35-64,Caucasian,691
WI,017,35-64,Uncoded,170
AL,097,65+,African-American,14554
NC,183,18-34,Caucasian,93301
AR,,65+,African-American,235
IA,153,18-34,Caucasian,55300
VA,740,65+,Caucasian,6066
MN,045,65+,Caucasian,3764
GA,157,35-64,Caucasian,16876
SC,055,65+,Caucasian,7934
PA,079,18-34,Caucasian,23999
TX,209,35-64,Hispanic,11508
SC,005,18-34,African-American,581
MS,091,18-34,Caucasian,799
MI,121,35-64,African-American,3667
FL,107,35-64,Caucasian,11446
NM,,65+,Caucasian,368
CO,077,18-34,Caucasian,13542
NC,063,35-64,Caucasian,34754
CA,,65+,Asian,214
OR,053,18-34,Caucasian,8626
OR,035,35-64,Caucasian,13360
PA,133,18-34,Caucasian,40470
NV,031,35-64,Hispanic,9169
LA,063,35-64,Caucasian,28346
NJ,017,35-64,African-American,9105
IL,095,35-64,Caucasian,10061
NC,189,35-64,Caucasian,8771
RI,003,35-64,Caucasian,40308
OK,143,35-64,African-American,5450
MI,123,65+,Caucasian,8285
MA,021,35-64,Uncoded,10026
WA,063,35-64,Uncoded,4224
DE,003,65+,African-American,7700
GA,019,18-34,Caucasian,1518
MN,085,35-64,Caucasian,8028
CT,003,18-34,Asian,1093
GA,171,35-64,Caucasian,3191
MT,029,65+,Caucasian,15836
KS,007,65+,Caucasian,849
AL,015,65+,Caucasian,13151
NJ,039,18-34,Uncoded,3375
TX,,35-64,Caucasian,5583
NC,191,18-34,Caucasian,6449
NJ,025,65+,African-American,2175
LA,033,35-64,Caucasian,44258
HI,003,35-64,Hispanic,2444
MO,035,35-64,Caucasian,1088
TX,093,18-34,Caucasian,883
MI,089,65+,Caucasian,6037
KY,141,18-34,Caucasian,2194
ND,105,35-64,Caucasian,5362
MI,159,35-64,Caucasian,17361
PA,003,35-64,Uncoded,6952
TX,379,65+,Caucasian,2115
WA,017,35-64,Hispanic,808
IL,113,35-64,Caucasian,35925
IN,157,35-64,Caucasian,30552
MA,027,35-64,Caucasian,168430
FL,053,35-64,Caucasian,33236
WV,077,35-64,Caucasian,6177
KS,173,35-64,Caucasian,91149
FL,015,65+,Caucasian,48633
IN,179,35-64,Caucasian,6481
IN,019,18-34,Caucasian,13464
GA,021,35-64,Caucasian,13432
CA,085,65+,Caucasian,105014
CA,087,65+,Caucasian,31566
