geoid,age,race,population,registered,reg_frac
01047,35-64,White,4266,2465,0.5778246601031412
01047,35-64,Hispanic,242,8,0.03305785123966942
01047,65+,Native American,8,5,0.625
01047,65+,Asian,25,19,0.76
01047,65+,Black,3802,3030,0.7969489742240926
01047,65+,Other,1,5,5.0
01047,65+,White,2948,2230,0.7564450474898237
01047,65+,Hispanic,34,1,0.029411764705882353
01049,18-34,Native American,126,110,0.873015873015873
01049,18-34,Asian,25,15,0.6
01049,18-34,Black,178,148,0.8314606741573034
01049,18-34,Other,1157,27,0.023336214347450302
01049,18-34,White,11040,6125,0.5548007246376812
01049,18-34,Hispanic,2662,602,0.2261457550713749
01049,35-64,Native American,287,98,0.34146341463414637
01049,35-64,Asian,27,41,1.5185185185185186
01049,35-64,Black,287,238,0.8292682926829268
01049,35-64,Other,1212,48,0.039603960396039604
01049,35-64,White,23825,13751,0.5771668415529906
01049,35-64,Hispanic,2902,275,0.09476223294279806
01049,65+,Native American,28,27,0.9642857142857143
01049,65+,Asian,7,9,1.2857142857142858
01049,65+,Black,123,97,0.7886178861788617
01049,65+,Other,68,46,0.6764705882352942
01049,65+,White,11529,8785,0.7619914996964178
01049,65+,Hispanic,172,39,0.22674418604651161
01051,18-34,Native American,31,18,0.5806451612903226
01051,18-34,Asian,100,49,0.49
01051,18-34,Black,5166,2082,0.40301974448315914
01051,18-34,Other,162,84,0.5185185185185185
01051,18-34,White,12166,7177,0.5899227354923557
01051,18-34,Hispanic,809,105,0.12978986402966625
01051,35-64,Native American,108,41,0.37962962962962965
01051,35-64,Asian,166,79,0.4759036144578313
01051,35-64,Black,6661,3975,0.5967572436571086
01051,35-64,Other,150,114,0.76
01051,35-64,White,24892,15950,0.6407681182709304
01051,35-64,Hispanic,674,153,0.22700296735905046
01051,65+,Native American,75,24,0.32
01051,65+,Asian,95,49,0.5157894736842106
01051,65+,Black,1345,1252,0.9308550185873606
01051,65+,Other,139,40,0.28776978417266186
01051,65+,White,10362,9954,0.9606253618992473
01051,65+,Hispanic,38,32,0.8421052631578947
01053,18-34,Native American,449,123,0.2739420935412027
01053,18-34,Asian,62,7,0.11290322580645161
01053,18-34,Black,3062,1241,0.4052906596995428
01053,18-34,Other,35,21,0.6
01053,18-34,White,4189,2478,0.5915492957746479
01053,18-34,Hispanic,140,23,0.16428571428571428
01053,35-64,Native American,390,188,0.48205128205128206
01053,35-64,Asian,34,20,0.5882352941176471
01053,35-64,Black,4512,2243,0.4971187943262411
01053,35-64,Other,74,28,0.3783783783783784
01053,35-64,White,8986,5423,0.6034943245047852
01053,35-64,Hispanic,315,37,0.11746031746031746
01053,65+,Native American,241,75,0.3112033195020747
01053,65+,Asian,7,8,1.1428571428571428
01053,65+,Black,1458,1159,0.7949245541838135
01053,65+,Other,1,8,8.0
01053,65+,White,4779,3872,0.8102113412847877
01053,65+,Hispanic,88,4,0.045454545454545456
01055,18-34,Native American,59,23,0.3898305084745763
01055,18-34,Asian,170,53,0.31176470588235294
01055,18-34,Black,4081,1912,0.4685126194560157
01055,18-34,Other,224,95,0.42410714285714285
01055,18-34,White,15376,8910,0.579474505723205
01055,18-34,Hispanic,1120,216,0.19285714285714287
01055,35-64,Native American,199,45,0.22613065326633167
01055,35-64,Asian,332,98,0.29518072289156627
01055,35-64,Black,6037,3401,0.5633592844127878
01055,35-64,Other,400,96,0.24
01055,35-64,White,32716,20116,0.6148673431959897
01055,35-64,Hispanic,1059,169,0.15958451369216242
01055,65+,Native American,118,24,0.2033898305084746
01055,65+,Asian,92,49,0.532608695652174
01055,65+,Black,1959,1670,0.852475752935171
01055,65+,Other,19,18,0.9473684210526315
01055,65+,White,16992,13919,0.8191501883239172
01055,65+,Hispanic,108,32,0.2962962962962963
01057,18-34,Native American,1,1,1.0
01057,18-34,Asian,9,0,0.0
01057,18-34,Black,470,227,0.4829787234042553
01057,18-34,Other,1,8,8.0
01057,18-34,White,2690,1635,0.6078066914498141
01057,18-34,Hispanic,74,14,0.1891891891891892
01057,35-64,Native American,1,7,7.0
01057,35-64,Asian,44,7,0.1590909090909091
01057,35-64,Black,743,437,0.5881561238223418
01057,35-64,Other,1,9,9.0
01057,35-64,White,5517,3691,0.6690230197571144
01057,35-64,Hispanic,70,15,0.21428571428571427
01057,65+,Native American,1,4,4.0
01057,65+,Asian,17,1,0.058823529411764705
01057,65+,Black,335,251,0.7492537313432835
01057,65+,Other,1,7,7.0
01057,65+,White,3073,2466,0.8024731532704198
01057,65+,Hispanic,26,6,0.23076923076923078
01059,18-34,Native American,64,6,0.09375
01059,18-34,Asian,1,4,4.0
01059,18-34,Black,245,118,0.4816326530612245
01059,18-34,Other,522,17,0.032567049808429116
01059,18-34,White,4694,2581,0.5498508734554751
01059,18-34,Hispanic,1829,351,0.19190814652815746
01059,35-64,Native American,151,12,0.07947019867549669
01059,35-64,Asian,15,10,0.6666666666666666
01059,35-64,Black,307,276,0.8990228013029316
01059,35-64,Other,452,23,0.05088495575221239
01059,35-64,White,9736,5904,0.6064092029580936
01059,35-64,Hispanic,1173,153,0.13043478260869565
01059,65+,Native American,8,6,0.75
01059,65+,Asian,1,4,4.0
01059,65+,Black,184,150,0.8152173913043478
01059,65+,Other,159,6,0.03773584905660377
01059,65+,White,4816,3760,0.7807308970099668
01059,65+,Hispanic,239,34,0.14225941422594143
01061,18-34,Native American,61,9,0.14754098360655737
01061,18-34,Asian,32,2,0.0625
01061,18-34,Black,535,242,0.4523364485981308
01061,18-34,Other,63,15,0.23809523809523808
01061,18-34,White,3996,2355,0.5893393393393394
01061,18-34,Hispanic,217,53,0.24423963133640553
01061,35-64,Native American,93,25,0.26881720430107525
01061,35-64,Asian,60,8,0.13333333333333333
01061,35-64,Black,923,499,0.5406283856988082
01061,35-64,Other,72,20,0.2777777777777778
01061,35-64,White,9011,5570,0.618133392520253
01061,35-64,Hispanic,337,53,0.1572700296735905
01061,65+,Native American,81,16,0.19753086419753085
01061,65+,Asian,4,4,1.0
01061,65+,Black,414,267,0.644927536231884
01061,65+,Other,1,7,7.0
01061,65+,White,4701,3707,0.7885556264624548
01061,65+,Hispanic,81,18,0.2222222222222222
01063,18-34,Native American,1,1,1.0
01063,18-34,Asian,1,1,1.0
01063,18-34,Black,1328,823,0.6197289156626506
01063,18-34,Other,1,5,5.0
01063,18-34,White,321,82,0.2554517133956386
01063,18-34,Hispanic,1,4,4.0
01063,35-64,Native American,18,1,0.05555555555555555
01063,35-64,Asian,1,3,3.0
01063,35-64,Black,2537,1609,0.6342136381553015
01063,35-64,Other,8,6,0.75
01063,35-64,White,447,365,0.8165548098434005
01063,35-64,Hispanic,14,6,0.42857142857142855
01063,65+,Native American,1,0,0.0
01063,65+,Asian,1,0,0.0
01063,65+,Black,1313,957,0.7288651942117289
01063,65+,Other,1,1,1.0
01063,65+,White,458,335,0.7314410480349345
01063,65+,Hispanic,2,2,1.0
01065,18-34,Native American,1,2,2.0
01065,18-34,Asian,1,0,0.0
01065,18-34,Black,2036,1119,0.5496070726915521
01065,18-34,Other,8,13,1.625
01065,18-34,White,1020,667,0.653921568627451
01065,18-34,Hispanic,1,5,5.0
01065,35-64,Native American,9,2,0.2222222222222222
01065,35-64,Asian,1,9,9.0
01065,35-64,Black,3246,2159,0.6651263093037585
01065,35-64,Other,16,13,0.8125
01065,35-64,White,2241,1557,0.6947791164658634
01065,35-64,Hispanic,4,4,1.0
01065,65+,Native American,1,3,3.0
01065,65+,Asian,9,3,0.3333333333333333
01065,65+,Black,1374,974,0.7088791848617176
01065,65+,Other,1,6,6.0
01065,65+,White,1394,1104,0.7919655667144907
01065,65+,Hispanic,1,2,2.0
01067,18-34,Native American,1,4,4.0
01067,18-34,Asian,1,4,4.0
01067,18-34,Black,922,539,0.5845986984815619
01067,18-34,Other,27,15,0.5555555555555556
01067,18-34,White,1927,1370,0.7109496626881162
01067,18-34,Hispanic,159,26,0.16352201257861634
01067,35-64,Native American,30,9,0.3
01067,35-64,Asian,32,13,0.40625
01067,35-64,Black,1804,1146,0.6352549889135255
01067,35-64,Other,50,22,0.44
01067,35-64,White,4742,3311,0.6982285955293125
01067,35-64,Hispanic,116,21,0.1810344827586207
01067,65+,Native American,1,2,2.0
01067,65+,Asian,1,6,6.0
01067,65+,Black,869,733,0.8434982738780207
01067,65+,Other,1,6,6.0
01067,65+,White,2895,2444,0.8442141623488774
01067,65+,Hispanic,26,4,0.15384615384615385
01069,18-34,Native American,57,21,0.3684210526315789
01069,18-34,Asian,183,55,0.3005464480874317
01069,18-34,Black,7025,3102,0.44156583629893237
01069,18-34,Other,236,129,0.5466101694915254
01069,18-34,White,13481,7911,0.5868259031229137
01069,18-34,Hispanic,895,156,0.17430167597765364
01069,35-64,Native American,154,57,0.37012987012987014
