geoid,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
39007,39.014209335068,48.29277503519808,59.76837874926483,52.77053162481512,27.235784427295897,28.449867227459823,21.53076580349664,37.29227780649071,16.595756625260652,32.86989182156795
29167,38.74834321196726,22.374513205013425,65.07589525514773,54.89405214861235,12.84144471799463,26.89095792300806,30.085233885407344,22.862060400790284,10.033192209991537,20.175687270674565
48503,38.81617603330359,39.4559251968504,62.54274606299212,52.674773622047226,16.785374015748033,28.18826771653544,23.93325787401575,22.526543760531272,9.493478045395971,14.324194667459606
28033,32.663530573235015,45.34446463267344,63.69032505382552,53.29127028304365,17.835477603318797,23.586581946121903,18.44647376988921,35.00832545634045,15.56315247757682,31.74764005293341
39097,39.46619876960403,36.16820032926089,65.99301187072179,56.61903214626117,25.827298327701257,29.171735551512,22.442084741356908,27.58662594229269,12.090668053028336,23.74726193570748
48423,31.561486907219862,45.933491671109834,61.5655607257687,51.08395052752324,13.152019614495993,25.27451327290653,19.479858788554434,35.24225412119424,16.868715793268436,28.32395618261068
01113,32.33647042371696,59.96294402583424,56.580809337997856,44.92476453175457,6.59478269644779,21.003602664155,16.06436692680301,50.77678995944624,24.591728429590265,48.63055866312404
25009,35.26839766877871,68.19625364376479,67.73631147231679,58.816841268643365,18.824116534437657,26.597715394847235,26.83473463015196,58.78158483747595,36.81452028795184,54.907318616220806
40037,37.3882461745418,26.68224192562121,61.9590471955084,51.800970037244966,18.018539107232197,24.523614431041185,29.355825782422595,30.88427778711956,14.251527380752195,25.788781458438425
13021,36.77893654524089,70.3557921451684,64.84648436012944,56.25085337224795,12.045479347757125,21.807367552820217,27.561975762959207,61.32051167424512,31.6171128595514,57.86448679303125
51117,38.788769499290936,48.0462040903737,62.80035335689046,55.689827604668594,26.75358710782739,17.95523610664954,16.162378198950638,39.18947856441584,16.41075051816298,34.27199192756628
17091,32.54895800049704,38.2424557105833,64.50180352895235,56.79512550147336,10.253170376681933,27.559166755422996,23.593827883693688,43.497173997940834,21.26984059360244,40.4420509816452
16065,36.60058716622397,11.372829581993567,67.89328253879492,54.75545924786803,18.959066126100936,26.979295400531253,28.37150146791556,19.410352299734377,9.055675940164964,13.76391723752272
26055,41.58118212163154,50.04391910446315,75.17262668195843,64.61995735538791,17.585781898654428,27.787524835640525,31.237506259389097,38.346338842302366,19.130963119759013,36.33365952943092
16057,37.953857665447295,58.23092229242878,71.62790710564241,62.48972952000884,19.50244429664117,24.53196984813215,30.433377674315487,44.24689058862655,23.159677419354832,41.46665003879836
27015,33.650724177359926,35.96616494198808,69.15236751332705,62.79672624647225,8.410649106302918,16.025293195359055,19.87664471621198,26.16219031889214,13.002680726718332,25.74313301994664
37007,35.70153448275861,68.42124023018124,63.34184488533884,52.283500815940926,8.489555956368635,28.960371038392175,25.805488276217467,52.90767241379309,27.69083620689656,51.55547413793102
27017,33.517162037262246,45.749529705346,71.02419138113065,64.09719742777618,9.312045301852383,18.549001823591524,22.021436798157207,41.64267646057304,18.581884516223187,34.96090869290266
47001,35.106733348488284,45.24537622186859,64.1084246419641,54.27742668788362,5.166060468288249,25.509240736531016,26.0545646737895,34.990125028415534,15.262962036826552,30.10731984541941
37189,35.6847921303942,48.028318426397725,67.92876385275986,57.973684210526315,9.22025086412714,33.519000106902304,27.726572355058256,47.09842033460185,21.409456451497093,42.270176635312716
36119,31.002141396160475,67.60521303741642,68.34612683157813,60.16332481300579,30.067025236537734,20.03969844178855,18.32636683298112,55.7140082998832,40.914909755760696,58.29289906193337
19169,30.65364427299216,59.13612825438348,72.25099726161773,61.981313606081656,15.615516818571956,15.658008746474827,21.278248252748604,51.73084704723598,29.23541675216481,49.920587269668005
17179,33.68162638806423,46.38240354733571,68.30583390181664,60.4733495035246,11.210255438490105,30.349790292832065,26.4662775714394,36.34921864143413,16.898415806561644,32.75694126861805
55031,37.05191752087703,50.68567043173677,69.62332244480304,61.85822346412689,13.897276555551183,28.560352630957528,32.17300169231374,44.09961610005145,21.80588514663395,42.51237186844501
36039,35.370932699652045,41.01727064414835,64.26640074683867,57.23141390138336,34.020457438682854,18.05855469744548,15.248553000084868,37.52299499278621,18.54758550454044,33.8903547483663
54099,37.47249746707194,50.42984802431612,58.28716818642352,51.5267223910841,15.914716312056743,30.04722391084093,28.48422492401216,44.08993414387032,16.560075987841945,32.28411347517731
21205,41.39817593897688,38.852276867030966,62.51737870508364,52.65311309819507,28.74378208312634,20.82463984103329,27.743426063917855,43.94429980930271,20.19095431556256,40.176370118563966
48209,30.182957987400396,55.02963164355696,66.38697364410058,55.03411601868555,14.720896051146427,26.378653286866616,21.55908697693962,50.51237264800364,24.88774917601903,42.54151695940592
48305,36.16531040268456,22.60239669421488,60.53429752066116,48.432314049586765,14.007644628099174,27.82008264462809,22.112479338842974,21.692323825503355,10.601300335570468,18.135947986577175
17145,37.81075447012648,39.27733100741387,68.02894897514173,58.97834278238117,12.03088530309638,30.759040558220672,29.193658962058432,36.16633231574357,14.310981247274317,28.776327954644564
40031,33.985825760376734,51.4430835347838,54.61867349679599,45.43086604504816,16.05928398756763,19.620158474348614,23.252160316181264,41.11595088443054,20.357952090914395,38.48096090603048
55115,39.958631035724274,26.003516527279967,68.85949422540817,61.15175627240144,14.075061728395069,29.30532855436082,33.23866985264834,25.19290714885785,11.545181421770613,22.59673960875304
37121,40.03960674157302,27.22631239242685,69.04101764199653,58.21692125645438,8.406206970740104,34.31277969018932,33.097536574870915,23.421132238547976,8.643452895419188,18.245041054451168
13157,34.19505707815317,38.71468994028479,68.03619660082683,57.49759990813045,12.034710610932482,23.128151125401896,26.17467845659165,27.004106391828817,10.287086934417893,19.3883925682858
01093,43.43027815218724,13.576169782116915,63.87897964043338,50.776003095606605,8.687706869865462,29.77340754851769,25.826562686034052,18.305661070947192,6.577441490013481,10.905538536943997
51095,38.493560807766364,53.88377664365056,74.4948303812669,68.18541378965277,36.75412388672072,27.82941058741115,27.39510057039928,51.39876705034204,24.42397083521075,40.782761233768895
56017,45.07192198293375,17.260734463276837,64.92828894269573,61.44430992736078,20.85516545601291,29.53801452784504,30.05355125100888,20.631897602600567,8.741365298659078,16.174238114587563
40135,39.16272900977858,40.1590151134906,59.47754726451398,48.16045953934525,17.53093525179856,20.39959288383248,28.85825665049354,33.1227998201641,18.265724401483645,33.67765538945711
48401,35.92353122234619,31.245863063610138,62.62850690754518,50.920085015940494,14.599457264308487,27.805264156672216,23.23350538940337,27.72239621407409,11.902631680196995,20.627093994074876
42059,41.22707194283549,28.349032778076303,66.7067060720043,58.796539494895214,34.46743148844708,29.214400859752832,35.23933369156368,40.33914361500568,19.639019108969844,37.07899637308505
18013,35.97870900076278,30.91004958047292,64.83518306636155,56.650247902364605,6.326868802440886,29.46387299771169,23.73649885583524,34.14231502669718,14.609334477498097,29.729500381388256
36033,33.24964000693962,49.579676454005295,58.60599384134967,50.65152014572581,28.053801448583943,16.536318688467716,12.686776250162644,44.17554215822344,19.37973629424012,37.94570176960445
36009,33.01549567355203,35.2633477946493,62.43736563027236,54.07046999276934,30.76831525668837,17.859031091829337,13.324574596288262,37.20654149292583,15.307749041914724,29.04731133553473
48495,34.77838449111469,50.46159489633174,48.37671451355662,38.779425837320574,8.78950558213716,20.170366826156304,16.517639553429024,22.38891760904685,11.663812600969305,24.930985460420025
37073,35.75903147699758,60.500723240115754,65.69406943105112,55.31057537769208,6.754387656702025,29.03698167791707,26.64432658309225,50.50553672316385,24.94190476190476,46.85649717514124
30067,42.09712806981936,47.44594785059903,74.6986308265378,66.93749119097956,15.73034330011074,29.464441759790603,36.2488976140139,39.743261619646844,20.36107164603207,36.62219403288006
22031,41.20910150936063,42.9811232752478,62.85387057070675,56.56314050657511,32.38179050333614,19.726086674872068,25.968847574010493,40.11956338666838,22.631716006996168,39.32647535142839
08093,40.85396290050591,38.71577517760133,78.35495194316758,69.86174258253239,37.016934809862086,21.785624738821564,34.53820518178019,35.41512436762225,19.33428541315345,36.29050379426645
30091,46.98554336989032,27.57080867850099,72.87721893491124,63.99807692307692,17.712672583826432,29.03984220907298,35.17036489151874,19.90932203389831,10.524725822532398,18.085593220338986
32005,37.96701888042398,31.085995362702885,72.05681682676382,64.15318648559125,20.04535607817157,22.8514044385558,34.9163961576681,34.14096058297448,16.87704206690957,30.63952964557801
22085,41.62652595101205,29.170276443254316,57.779743246436176,52.07678191698829,30.10671024651492,17.696361345199655,26.029857446640943,31.104016696857528,15.774962589588092,26.153674096243204
29153,43.63950164895566,15.05727305869486,63.78714910681736,54.68773240977031,12.676850164053958,25.715238789646367,31.744148742253007,20.274367900329796,8.720208867717112,15.197489923048735
21061,41.391160520607365,17.8483547731889,62.026242383209215,52.049695328368315,28.115382532159785,20.0927826675694,24.637129316181447,25.14754609544469,9.504772234273322,18.893194143167023
31001,37.153274687854704,32.735129650507325,64.45313416009017,54.17577790304396,17.571459977452086,27.820986471251405,22.797299887260422,30.068978433598183,14.704108967082854,25.059120317820664
16077,39.3343949044586,35.42171395483497,63.06464968152866,56.37061378112334,18.63986682107701,23.29901563404748,28.005848291835555,25.6387376954256,12.844759698899828,26.652895193978
47035,37.91524516078473,29.246005955801667,66.27161067864792,56.76287550284729,6.671474844574473,25.896591087195016,30.46700799331279,27.30172931741595,11.186411013296413,22.046239648911996
51181,42.025170068027215,55.66577181208053,70.47286673058487,64.55172579098753,36.644654841802485,24.040604026845635,20.614237775647165,51.63748785228376,23.64990281827016,47.71297376093294
08103,49.57244206773619,13.857547838412474,78.17664776754076,67.2532246633593,41.51552090715804,30.25364989369241,40.52012756909993,19.255721925133685,9.063458110516931,15.82124777183601
27087,37.93805970149254,48.996844565640814,65.90416828983248,57.22049084534474,7.1030385664199445,15.321075185040902,22.70432411375146,37.92117046347212,15.666967792615868,32.226315789473695
51111,36.70629539951574,43.43286735504369,63.47679110405085,56.712772041302635,29.450468625893567,19.148705321683877,16.725337569499604,38.77502824858756,15.131928974979818,31.817691686844235
13027,37.213495180292746,45.95621967096697,62.63193277310924,52.89138359569179,12.34617114451414,19.846526216120253,25.0281571783643,42.050636677377135,18.80479590622396,37.607473521361406
47079,35.85844676151832,32.899892136216565,61.25330525450717,52.31397606451281,7.073126508808876,25.322949304021776,26.47974215419384,30.53290872669372,12.824942215830298,24.324295033129584
31179,39.677625854568056,26.40957578253707,69.53558484349257,58.217607084019775,20.528397858319604,29.28863261943988,26.609184514003296,24.17835094261447,12.239962709757616,21.78686554795939
16081,40.356324482542334,48.24798243780055,74.5123144469998,64.66847167049968,21.02970938741376,25.30715032406439,34.812899853648325,39.94992682416893,21.56937068785281,42.12331172904035
27101,37.500037369207774,31.64729054928796,70.65600147956353,64.25426299241724,9.733937488440908,20.02106528574071,23.39332346957647,21.83383781763827,11.21022047832586,22.46324738415545
29215,41.862447721769755,17.354956268221578,63.11327259475221,52.84777696793004,12.761880466472304,26.108418367346957,29.373542274052483,20.18663878494388,8.982493213001685,17.577973438990387
48321,38.30769909830381,42.654363420872045,57.3973863140166,47.60805314702763,14.024652236292182,25.234108913979163,21.20175909175971,33.74038085629612,16.856340248439373,29.61019610315908
48219,34.62103491391747,37.74812101607839,58.424774046237275,46.56756731043668,12.95494244125202,26.706469412995915,20.754742650556555,25.156737520438583,12.0711743772242,21.49954794652304
20191,36.7362335938652,26.56366774383078,61.925293772032894,53.13135282021152,16.948487074030556,22.12633666274971,22.607696827262043,26.397758442707577,11.512704615838375,22.822563043798848
29123,40.37593069873997,20.267493230725385,61.54932307253813,51.34705714692888,11.762861621775691,24.0445917058572,26.143009833262077,25.119716494845363,10.27269473081329,20.44737972508591
13253,40.67312525334414,39.785299455535394,61.4638838475499,52.2182698124622,11.378665053438196,21.502238354506957,28.216212946158496,42.81388325901905,17.920328334008918,35.14325091203891
28011,39.09114074577425,63.6967552875223,59.27664146776524,51.00741527223308,22.020062855686735,29.715297715110843,23.4709674679351,59.20614117047482,27.79401172173617,54.63316911577338
31067,38.1048628613788,35.728586133372545,64.74282038085434,54.98654510697742,18.483685023160056,26.7718182486582,24.096639952944635,30.2188361749444,14.757361008154188,27.17936249073388
39121,46.14033829499322,34.228213802435725,68.91002706359946,59.28276048714479,33.33549391069012,35.646765899864675,26.763274695534506,31.094966170500676,10.79483085250338,23.864668470906626
20059,36.74054198371381,32.428727997343074,61.85055463301228,53.62147459315843,15.742663566921289,23.69293922284956,23.071032879442043,28.673628354024828,12.593445467894805,26.60128153784542
28029,41.16683673469389,58.32580837529819,61.457593426981184,52.493943811290734,22.231632653061222,29.60103366021733,23.807275377683528,51.2086999734959,23.72846541213888,47.4075934269812
48017,34.46460618145562,47.47620462046204,52.983234323432335,43.03686468646865,11.481914191419136,24.24316831683168,20.454785478547855,26.030707876370894,11.970023263542709,22.96886008640744
37117,37.569227095438976,56.56105738744453,66.42485732403298,56.48685795814838,9.068690551680408,32.406198478123024,28.172130627774248,53.49069489771552,28.549550266656055,52.26215076016876
13165,40.069086538461534,48.480043124101584,61.7926689027312,52.074676569238136,11.708025874460947,20.30256348826066,27.60682798275036,44.10103365384616,19.01550480769231,45.59173076923078
16037,49.09714285714284,11.512448979591834,73.04607142857142,63.927806122448985,23.528214285714284,31.173265306122445,39.712295918367325,19.579132653061215,8.505612244897959,15.636275510204085
51183,39.31842803030303,63.91359805206968,64.96961977898485,57.70556283948305,31.53899606667915,20.946319535493537,17.354504588874317,52.17729166666668,23.625416666666663,49.56433712121212
40085,41.5412487804878,36.99637485537986,60.67686077902045,48.14656768222137,16.053972232934825,21.272483609718464,29.41982259930583,34.701287804878035,18.80362926829269,32.12462439024392
48465,34.447641379310355,59.15304095423827,55.51703932151117,41.39418567735499,9.8959952832328,21.424386593496315,17.460383690870334,45.66846896551726,25.358432183908047,46.84899770114943
